a	A
raconter	R a k O~ t e
radar	R a d a R
rade	R a d
radeau	R a d o
radiateur	R a d j a t 9 R
radiation	R a d j a s j O~
radical	R a d i k a l
radicaux	R a d i k o
radier	R a d j e
radieux	R a d j 2
radio	R a d j o
radiographie	R a d j O g R a f i
radiologie	R a d j O l O Z i
radioélectrique	R a d j o e l E k t R i k
radioélectriques	R a d j o e l E k t R i k
radis	R a d i
radium	R a d j O m
radius	R a d j y s
radon	R a d O~
rafale	R a f a l
rafle	R a f l
rafraîchir	R a f R E S i R
rafting	R a f t i N
rage	R a Z
ragoût	R a g u
rai	R E
raid	R E d
raide	R E d
raie	R E
rail	R a j
railway	R E l w E
rainer	R e n e
rainette	R E n E t
rainure	R e n y R
raiponce	R E p O~ s
raisin	R E z E~
raison	R E z O~
raisonnable	R E z O n a b l
raisonnablement	R E z O n a b l @ m A~
rajouter	R a Z u t e
ralentir	R a l A~ t i R
rallier	R a l j e
rallye	R a l i
ramasser	R a m A s e
rame	R a m
rameau	R a m o
ramener	R a m n e
ramier	R a m j e
ramification	R a m i f i k a s j O~
ramon	R a m O~
rampe	R A~ p
rance	R A~ s
rancune	R A~ k y n
randonnée	R A~ d O n e
rang	R A~
ranger	R A~ dZ 9 R
rangé	R A~ Z e
rangée	R A~ Z e
rançon	R A~ s O~
rap	R a p
rapace	R a p a s
rapatrier	R a p a t R i j e
rapide	R a p i d
rapidement	R a p i d m A~
rapidité	R a p i d i t e
rappel	R a p E l
rappeler	R a p l e
rappeur	R a p 9 R
rapport	R a p O R
rapporter	R a p O R t e
rapporteur	R a p O R t 9 R
rapprochement	R a p R O S m A~
rapprocher	R a p R O S e
rare	R A R
rarement	R A R m A~
rareté	R a R t e
rarissime	R a R i s i m
ras	R A s
rasage	R a z a Z
rase	R a z
raser	R A z e
rassemblement	R a s A~ b l @ m A~
rassemblements	R a s A~ b l @ m A~
rassembler	R a s A~ b l e
rassure	R a s y R
rassurer	R a s y R e
rasé	R A z e
rat	R a
ratatouille	R a t a t u j
rate	R a t
rater	R a t e
ratifier	R a t i f j e
ration	R a s j O~
rationaliser	R a s j O n a l i z e
rationnel	R a s j O n E l
rationnement	R a s j O n m A~
raton	R a t O~
rats	R a
rattachement	R a t a S @ m A~
rattacher	R a t a S e
rattrapage	R a t R a p a Z
rattraper	R a t R a p e
raté	R a t e
rauque	R o k
ravage	R a v a Z
rave	R a v
ravi	R a v i
ravin	R a v E~
ravitaillement	R a v i t a j m A~
ravitailler	R a v i t a j e
rayon	R E j O~
rayonnement	R E j O n m A~
rayonnements	R E j O n m A~
rayonner	R E j O n e
rayons	r E j O~
rayure	R E j y R
raz	R a
raï	R a j
rebelle	R @ b E l
rebond	R @ b O~
rebondir	R @ b O~ d i R
rebord	R @ b O R
rebours	R @ b u R
recensant	R @ s A~ s A~
recense	R @ s A~ s
recensement	R @ s A~ s m A~
recensent	R @ s A~ s
recensions	R @ s A~ s j O~
recensé	R @ s A~ s e
recette	R @ s E t
receveur	R @ s @ v 9 R
receveur	R @ s v 9 R
recevoir	R @ s @ v w a R
recharge	R @ S a R Z
recherche	R @ S E R S
rechercher	R @ S E R S e
recherches	R @ S E R S
rechute	R @ S y t
recommandation	R @ k O m A~ d a s j O~
recommander	R @ k O m A~ d e
recommandé	R @ k O m A~ d e
recommencer	R @ k O m A~ s e
reconnaissance	R @ k O n E s A~ s
reconnaissances	R @ k O n E s A~ s
reconnaissant	R @ k O n E s A~
reconnaître	R @ k O n E t R
reconquête	R @ k O~ k E t
reconstituer	R @ k O~ s t i t H e
reconstituer	R k O~ s t i t H e
reconstruire	R @ k O~ s t R H i R
record	R @ k O R
recordman	R @ k O R d m a n
recourir	R @ k u R i R
recours	R @ k u R
recouvrant	R @ k u v R A~
recouvre	R @ k u v R
recouvrent	R @ k u v R
recouvrer	R @ k u v R e
recouvrir	R @ k u v R i R
recrue	R @ k R y
recruter	R @ k R y t e
recréation	R @ k R e a s j O~
rectifier	R E k t i f j e
rectiligne	R E k t i l i J
rectum	R E k t O m
recueil	R @ k 9 j
recueillir	R @ k 9 j i R
recueils	R @ k 9 j
recul	R @ k y l
recule	R @ k y l
reculer	R @ k y l e
recyclage	R @ s i k l a Z
recycler	R @ s i k l e
redescendre	R @ d e s A~ d R
redevenir	R @ d @ v @ n i R
redevenir	R @ d @ v n i R
rediffusion	R @ d i f y z j O~
redondance	R @ d O~ d A~ s
redonner	R @ d O n e
redoutable	R @ d u t a b l
redoutables	R @ d u t a b l
redresser	R @ d R e s e
redéfinir	R @ d e f i n i R
redéfinition	R @ d e f i n i s j O~
refaire	R @ f E R
refermer	R @ f E R m e
reflet	R @ f l E
reflux	R @ f l y
refléter	R @ f l e t e
refonte	R @ f O~ t
reforme	R @ f O R m
reformé	R @ f O R m e
refoulement	R @ f u l m A~
refrain	R @ f R E~
refroidir	R @ f R w a d i R
refuge	R @ f y Z
refus	R @ f y
refuser	R @ f y z e
regagner	R @ g a J e
regard	R @ g a R
regarde	R @ g a R d
regarder	R @ g a R d e
regret	R @ g R E
regretter	R @ g R e t e
rehaussé	R @ O s e
rein	R E~
reine	R E n
reins	R E~
rejeter	R @ Z @ t e
rejeter	R @ Z t e
rejoindre	R @ Z w E~ d R
rejouer	R @ Z w e
rejoué	R @ Z w e
relai	R @ l E
relais	R @ l E
relance	R @ l A~ s
relancé	R @ l A~ s e
relatif	R @ l a t i f
relatifs	R @ l a t i f
relation	R @ l a s j O~
relationnel	R @ l a s j O n E l
relative	R @ l a t i v
relativement	R @ l a t i v m A~
relatives	R @ l a t i v
relativiser	R @ l a t i v i z e
relativisme	R @ l a t i v i s m
relativité	R @ l a t i v i t e
relayer	R @ l e j e
relever	R @ l @ v e
relever	R @ l v e
relevé	R @ l @ v e
relevé	R @ l v e
relie	R @ l i
relief	R @ l j E f
relier	R @ l j e
religieux	R @ l i Z j 2
religion	R @ l i Z j O~
reliquat	R @ l i k a
relique	R @ l i k
relâcher	R @ l A S e
relèvement	R @ l E v m A~
relégation	R @ l e g a s j O~
remake	R i m E k
remaniement	R @ m a n i m A~
remanié	R @ m a n j e
remarquable	R @ m a R k a b l
remarquablement	R @ m a R k a b l @ m A~
remarque	R @ m a R k
remarquer	R @ m a R k e
remblai	R A~ b l e
remboursement	R A~ b u R s @ m A~
rembourser	R A~ b u R s e
remerciement	R @ m E R s i m A~
remercier	R @ m E R s j e
remettre	R @ m E t R
remise	R @ m i z
remix	R e m i k s
remonter	R @ m O~ t e
remords	R @ m O R
remorque	R @ m O R k
remorqueur	R @ m O R k 9 R
remous	R @ m u
remplacer	R A~ p l a s e
remplir	R A~ p l i R
remporter	R A~ p O R t e
remède	R @ m E d
remédier	R @ m e d j e
renaissance	R @ n E s A~ s
renard	R @ n a R
renaître	R @ n E t R
rencontre	R A~ k O~ t R
rencontrer	R A~ k O~ t R e
rend	R A~
rendant	R A~ d A~
rendre	R A~ d R
renflement	R A~ f l @ m A~
renforcement	R A~ f O R s @ m A~
renforcer	R A~ f O R s e
renfort	R A~ f O R
renforçant	R A~ f O R s A~
rennais	R E n E
renne	R E n
renomme	R @ n O m
renommé	R @ n O m e
renommée	R @ n O m e
renonce	R @ n O~ s
renoncent	R @ n O~ s
renoncer	R @ n O~ s e
renoncule	R @ n O~ k y l
renonça	R @ n O~ s a
renonçant	R @ n O~ s A~
renouveau	R @ n u v o
renouveler	R @ n u v l e
renouvellement	R @ n u v E l m A~
renseignement	R A~ s E J m A~
renseigner	R A~ s e J e
rente	R A~ t
rentre	R A~ t R
rentrer	R A~ t R e
rentrée	R A~ t R e
renverser	R A~ v E R s e
renvoi	R A~ v w a
renvoyer	R A~ v w a j e
renégat	R @ n e g a
repaire	R @ p E R
repas	R @ p A
repasser	R @ p A s e
repentir	R @ p A~ t i R
replier	R @ p l i j e
reporter	R @ p O R t e
reporting	R @ p O R t i N
repos	R @ p o
reposant	R @ p o z A~
repose	R @ p O z
reposer	R @ p o z e
repoussant	R @ p u s A~
repousser	R @ p u s e
repoussé	R @ p u s e
reprendre	R @ p R A~ d R
reprise	R @ p R i z
reproche	R @ p R O S
reprocher	R @ p R O S e
reproduire	R @ p R O d H i R
représentant	R @ p R e z A~ t A~
représentatif	R @ p R e z A~ t a t i f
représentation	R @ p R e z A~ t a s j O~
représenter	R @ p R e z A~ t e
repère	R @ p E R
repêchage	R @ p E S a Z
requiem	R e k H i j E m
requin	R @ k E~
requérir	R @ k e R i R
requête	R @ k E t
rescousse	R E s k u s
respect	R E s p E
respectable	R E s p E k t a b l
respectables	R E s p E k t a b l
respecter	R E s p E k t e
respectif	R E s p E k t i f
respectivement	R E s p E k t i v m A~
respectueux	R E s p E k t H 2
respiration	R E s p i R a s j O~
respirer	R E s p i R e
responsabilité	R E s p O~ s a b i l i t e
responsable	R E s p O~ s a b l
ressemblance	R @ s A~ b l A~ s
ressembler	R @ s A~ b l e
ressent	R @ s A~
ressentent	R @ s A~ t
ressenti	R @ s A~ t i
ressentir	R @ s A~ t i R
ressentis	R @ s A~ t i
resserré	R @ s e R e
ressort	R @ s O R
ressortent	R @ s O R t
ressortir	R @ s O R t i R
ressortissant	R @ s O R t i s A~
ressource	R @ s u R s
restaient	R E s t E
restait	R E s t E
restaurant	R E s t o R A~
restaurateur	R E s t O R a t 9 R
restaurer	R E s t O R e
reste	R E s t
restent	R E s t
rester	R E s t e
restes	R E s t
restos	R E s t o
restructuration	R @ s t R y k t y R a s j O~
resté	R E s t e
retarder	R @ t a R d e
retenir	R @ t @ n i R
retenir	R @ t n i R
retentissant	R @ t A~ t i s A~
retentit	R @ t A~ t i
retenu	R @ t @ n y
retirer	R @ t i R e
retomber	R @ t O~ b e
retour	R @ t u R
retournant	R @ t u R n A~
retourner	R @ t u R n e
retourné	R @ t u R n e
retrait	R @ t R E
retraite	R @ t R E t
retraité	R @ t R E t e
retrancher	R @ t R A~ S e
retranscrire	R @ t R A~ s k R i R
retrouver	R @ t R u v e
revanche	R @ v A~ S
revenant	R @ v @ n A~
revendication	R @ v A~ d i k a s j O~
revendiquer	R @ v A~ d i k e
revenir	R @ v @ n i R
revenir	R @ v n i R
revenu	R @ v @ n y
revenu	R @ v n y
revers	R @ v E R
reverse	R @ v E R s
reversé	R @ v E R s e
revisiter	R @ v i z i t e
revivre	R @ v i v R
revoir	R @ v w a R
revolver	R e v O l v E R
revue	R @ v y
revues	r @ v y
revêt	R @ v E
revêtement	R @ v E t m A~
revêtent	R @ v E t
revêtir	R @ v e t i R
revêtu	R @ v E t y
reçu	R @ s y
rhino	R i n o
rhinocéros	R i n O s e R O s
rhodanien	R O d a n j E~
rhodium	R O d j O m
rhododendron	R O d O d A~ d R O~
rhubarbe	R y b a R b
rhum	R O m
rhumatisme	R y m a t i z m
rhume	R y m
rhénan	R e n A~
rhétorique	R e t O R i k
ri	R i
riant	R j A~
richard	R i S a R
riche	R i S
riches	R i S
richesse	R i S E s
ricochet	R i k O S E
ride	R i d
rideau	R i d o
rider	R i d e
ridicule	R i d i k y l
rien	R j E~
rigide	R i Z i d
rigole	R i g O l
rigoureux	R i g u R 2
rima	R i m a
rime	R i m
rimes	R i m
ring	R i N g
rinçage	R E~ s a Z
riposte	R i p O s t
rire	R i R
ris	R i
risque	R i s k
risquer	R i s k e
rit	R i
rite	R i t
rivage	R i v a Z
rivages	R i v a Z
rival	R i v a l
rivaliser	R i v a l i z e
rive	R i v
river	R i v e
rivet	R i v E
rivière	R i v j E R
riz	R i
robe	R O b
robert	R O b E R
roberts	R O b E R
robin	R O b E~
robinet	R O b i n E
robot	R O b o
robuste	R O b y s t
roc	R O k
roche	R O S
rocher	R O S e
roches	R O S
rock	R O k
rognon	R O J O~
rogue	R O g
roi	R w a
rois	R w A
roller	R o l 9 R
romain	R O m E~
romaine	R O m E n
roman	R O m A~
romance	R O m A~ s
romanche	R O m A~ S
romancier	R O m A~ s j e
romantique	R o m A~ t i k
romarin	R O m a R E~
rompre	R O~ p R
ronce	R O~ s
ronces	R O~ s
rond	R O~
ronde	R O~ d
rondeau	R O~ d o
rondelle	R O~ d E l
rondes	R O~ d
ronds	R O~
rongeur	R O~ Z 9 R
rongeurs	R O~ Z 9 R
roque	R O k
roquefort	R O k f O R
roquette	R O k E t
rosace	R o z a s
rose	R o z
roseau	R o z o
rosette	R o z E t
rosier	R o z j e
rosière	R o z j E R
rossignol	R O s i J O l
rosâtre	R o z A t R
rosé	R o z e
rosée	R o z e
rot	R o
rotule	R O t y l
rouble	R u b l
roue	R u
rouge	R u Z
rouget	R u Z E
rougeâtre	R u Z A t R
rouille	R u j
rouleau	R u l o
rouler	R u l e
roulette	R u l E t
roulotte	R u l O t
roumain	R u m E~
roussanne	R u s a n
rousse	R u s
roussâtre	R u s A t R
route	R u t
routeur	R u t 9 R
routeurs	R u t 9 R
routine	R u t i n
rouvre	R u v R
rouvrir	R u v R i R
roux	R u
royal	R w a j a l
royaume	R w a j o m
royauté	R w a j o t e
royer	R w a j e
ru	R y
ruban	R y b A~
rubans	R y b A~
rubrique	R y b R i k
ruche	R y S
rude	R y d
rudesse	R y d E s
rudimentaire	R y d i m A~ t E R
rudimentaires	R y d i m A~ t E R
rue	R y
ruelle	R H E l
rugby	R y g b i
rugosité	R y g o z i t e
ruine	R H i n
ruiner	R H i n e
ruisseau	R H i s o
rumeur	R y m 9 R
rune	R y n
rupture	R y p t y R
rural	R y R a l
ruse	R y z
russe	R y s
rustique	R y s t i k
rusé	R y z e
rut	R y t
ruthénium	R y t e n j O m
ruée	R H e
rythme	R i t m
rythmique	R i t m i k
rythmé	R i t m e
râle	R A l
râteau	R A t o
règle	R E g l
règlement	R E g l @ m A~
règlementaire	R E g l @ m A~ t E R
règles	R E g l
règne	R E J
ré	R e
réaction	R e a k s j O~
réalisateur	R e a l i z a t 9 R
réalisateurs	R e a l i z a t 9 R
réalisatrice	R e a l i z a t R i s
réaliser	R e a l i z e
réaliste	R e a l i s t
réalité	R e a l i t e
réalités	R e a l i t e
réaménagé	R e a m e n a Z e
récemment	R e s a m A~
récent	R e s A~
réception	R e s E p s j O~
récessif	R e s e s i f
réchauffer	R e S o f e
récif	R e s i f
récipient	R e s i p j A~
réciproque	R e s i p R O k
récit	R e s i
récital	R e s i t a l
récitation	R e s i t a s j O~
réciter	R e s i t e
réclamation	R e k l a m a s j O~
réclame	R e k l a m
réclamer	R e k l a m e
récolte	R e k O l t
récolter	R e k O l t e
récompense	R e k O~ p A~ s
récompenser	R e k O~ p A~ s e
réconcilier	R e k O~ s i l j e
récréatif	R e k R e a t i f
récréation	R e k R e a s j O~
récupérer	R e k y p e R e
récurrence	R e k y R A~ s
récurrent	R e k y R A~
récursif	R e k y R s i f
rédaction	R e d a k s j O~
rédempteur	R e d A~ p t 9 R
rédemption	R e d A~ p s j O~
rédiger	R e d i Z e
réduction	R e d y k s j O~
réduire	R e d H i R
réduit	R e d H i
réel	R e E l
réellement	R e E l m A~
réfection	R e f E k s j O~
réfectoire	R e f E k t w a R
réflexif	R e f l E k s i f
réflexion	R e f l E k s j O~
réfléchi	R e f l e S i
réfléchir	R e f l e S i R
réformant	R e f O R m A~
réformer	R e f O R m e
réformes	R e f O R m
réformé	R e f O R m e
réfrigérateur	R e f R i Z e R a t 9 R
réfugier	R e f y Z j e
réfugié	R e f y Z j e
réfuter	R e f y t e
référence	R e f e R A~ s
référendum	R e f e R E~ d O m
régence	R e Z A~ s
régie	R e Z i
régime	R e Z i m
régiment	R e Z i m A~
région	R e Z j O~
régional	R e Z j O n a l
régionale	R e Z j O n a l
régionales	R e Z j O n a l
régionaux	R e Z j O n o
régisseur	R e Z i s 9 R
réglage	R e g l a Z
réglementaire	R E g l @ m A~ t E R
réglementation	R E g l @ m A~ t a s j O~
réglementer	R E g l @ m A~ t e
régler	R e g l e
réglisse	R e g l i s
régner	R e J e
réguler	R e g y l e
régulier	R e g y l j e
régulièrement	R e g y l j E R m A~
réjouir	R e Z w i R
réjouit	R e Z w i
rémunération	R e m y n e R a s j O~
rémunérer	R e m y n e R e
rénal	R e n a l
rénover	R e n O v e
réouverture	R e u v E R t y R
répandre	R e p A~ d R
répandu	R e p A~ d y
réparateur	R e p a R a t 9 R
réparer	R e p a R e
répartir	R e p a R t i R
répercussion	R e p E R k y s j O~
répit	R e p i
réplication	R e p l i k a s j O~
réplique	R e p l i k
répliquer	R e p l i k e
répondre	R e p O~ d R
réponse	R e p O~ s
réprimer	R e p R i m e
république	R e p y b l i k
républiques	R e p y b l i k
répulsion	R e p y l s j O~
réputation	R e p y t a s j O~
répéter	R e p e t e
répétitif	R e p e t i t i f
réquisitionné	R e k i z i s j O n e
réseau	R e z o
réseaux	R e z o
réserve	R e z E R v
réserver	R e z E R v e
réservoir	R e z E R v w a R
résident	R e z i d A~
résigné	R e z i J e
résilience	R e z i l j A~ s
résine	R e z i n
résines	R e z i n
résistance	R e z i s t A~ s
résistant	R e z i s t A~
résister	R e z i s t e
résolution	R e z O l y s j O~
résoudre	R e z u d R
résout	R e z u
résultat	R e z y l t a
résultent	R e z y l t
résulter	R e z y l t e
résumer	R e z y m e
résumé	R e z y m e
résurrection	R e z y R E k s j O~
rétabli	R e t a b l i
rétablir	R e t a b l i R
rétablissement	R e t a b l i s m A~
rétablit	R e t a b l i
rétention	R e t A~ s j O~
réticulum	R e t i k y l O m
réticulé	R e t i k y l e
rétracter	R e t R a k t e
rétrograde	R e t R O g R a d
rétrovirus	R e t R o v i R y s
réunion	R e y n j O~
réunir	R e y n i R
réussi	R e y s i
réussir	R e y s i R
réussite	R e y s i t
réussites	R e y s i t
réutilisant	R e y t i l i z A~
réutilise	R e y t i l i z
réutiliser	r e y t i l i z e
réutilisé	R e y t i l i z e
réveil	R e v E j
réveille	r e v e j
réveiller	R e v E j e
réveillon	R e v E j O~
réveillé	R e v E j e
réviser	R e v i z e
révocation	R e v O k a s j O~
révolte	R e v O l t
révolter	R e v O l t e
révolution	R e v O l y s j O~
révolutions	R e v O l y s j O~
révélation	R e v e l a s j O~
révélations	R e v e l a s j O~
révéler	R e v e l e
réécriture	R e e k R i t y R
rêve	R E v
rêver	R e v e
rôle	R o l
rôti	R o t i
s'agir	s a Z i R
s'en	s A~
s'est	s E
s'il	s i l
s'ils	s i l
s'y	s i
sa	s a
sabbat	s a b a
sable	s A b l
sablier	s a b l i j e
sablonneux	s a b l O n 2
sablons	s a b l O~
sablé	s A b l e
sabot	s a b o
sabotage	s a b O t a Z
sabotages	s a b O t a Z
sabre	s a b R
sac	s a k
sacerdoce	s a s E R d O s
sache	s a S
sachet	s a S E
sacra	s a k R a
sacrement	s a k R @ m A~
sacrifice	s a k R i f i s
sacrifier	s a k R i f j e
sacristain	s a k R i s t E~
sacré	s a k R e
sado	s a d o
safari	s a f a R i
safran	s a f R A~
saga	s a g a
sagas	s a g A
sage	s a Z
sagefemme	s a Z f a m
sagesse	s a Z E s
sagittaire	s a Z i t E R
saharienne	s a a R j E n
saignée	s E J e
saillant	s a j A~
saillie	s a j i
sain	s E~
saindoux	s E~ d u
saint	s E~
saints	s E~
sais	s E
saisie	s E z i
saisine	s E z i n
saisir	s E z i R
saison	s E z O~
sait	s E
saké	s a k e
sala	s a l a
salade	s a l a d
salage	s a l a Z
salaire	s a l E R
salaires	s a l E: R
salaison	s a l E z O~
salaisons	s a l E z O~
salas	s a l A
sale	s a l
salive	s a l i v
salle	s a l
salon	s a l O~
salonnière	s a l O n j E R
salpêtre	s a l p E t R
salto	s a l t o
saluer	s a l H e
salut	s a l y
salutation	s a l y t a s j O~
salve	s a l v
samba	s A~ b a
samedi	s a m d i
samouraï	s a m u R a j
san	s a n
sanction	s A~ k s j O~
sanctuaire	s A~ k t H E R
sandales	s A~ d a l
sandhi	s A~ d i
sandwich	s A~ d w i tS
sang	s A~
sanglier	s A~ g l i j e
sangsue	s A~ s y
sanguin	s A~ g E~
sanguinaire	s A~ g i n E R
sanguine	s A~ g i n
sans	s A~ z
sans	s A~
sanskrit	s A~ s k R i
santé	s A~ t e
saoudien	s a u d j E~
saphir	s a f i R
sapin	s a p E~
saponification	s a p O n i f i k a s j O~
sarbacane	s a R b a k a n
sarcelle	s a R s E l
sarcelles	s a R s E l
sarcophage	s a R k O f a Z
sardine	s a R d i n
sarrasin	s a R a z E~
sas	s a s
satellite	s a t E l i t
satisfaction	s a t i s f a k s j O~
satisfaire	s a t i s f E R
satisfaisant	s a t i s f @ z A~
satisfait	s a t i s f E
saturation	s a t y R a s j O~
saturé	s a t y R e
sauce	s o s
saucisse	s o s i s
saucisson	s o s i s O~
sauf	s o f
saule	s o l
saumon	s o m O~
saumons	s o m O~
saumure	s o m y R
saur	s O R
saut	s o
saute	s o t
sauter	s o t e
sauterelle	s o t R E l
sauteur	s o t 9 R
sauteurs	s o t 9 R
sauteuse	s o t 2 z
sautoir	s o t w a R
sauts	s o
sauva	s o v a
sauvage	s o v a Z
sauve	s o v
sauvegarder	s o v g a R d e
sauvent	s o v
sauver	s o v e
sauvetage	s o v t a Z
sauveteur	s o v t 9 R
savait	s a v E
savane	s a v a n
savant	s a v A~
savante	s a v A~ t
saveur	s a v 9 R
savoir	s a v w a R
savoirs	s a v w a R
savon	s a v O~
savoureux	s a v u R 2
saxifrage	s a k s i f R a Z
saxophone	s a k s O f O n
scalaire	s k a l E R
scalaires	s k a l E R
scandale	s k A~ d a l
scandinave	s k A~ d i n a v
scanner	s k a n e
scaphandre	s k a f A~ d R
scarabée	s k a R a b e
sceau	s o
sceaux	s o
scelle	s E l
sceller	s e l e
sceptique	s E p t i k
schisme	S i s m
schiste	S i s t
schizophrénie	s k i z O f R e n i
schtroumpf	S t R u m f
schéma	S e m a
scie	s i
sciemment	s j a m A~
science	s j A~ s
scientifique	s j A~ t i f i k
scientologie	s j A~ t O l O Z i
scierie	s i R i
scinder	s E~ d e
scolaire	s k O l E R
scoop	s k u p
scooter	s k u t 9 R
scorbut	s k O R b y t
score	s k O R
scorpion	s k O R p j O~
scotch	s k O tS
scottish	s k O t i S
scoutisme	s k u t i z m
scratch	s k R a tS
script	s k R i p t
scriptorium	s k R i p t O R j O m
scrupule	s k R y p y l
scrupuleusement	s k R y p y l 2 z m A~
scrutin	s k R y t E~
sculpter	s k y l t e
sculpteur	s k y l t 9 R
sculpture	s k y l t y R
sculptures	s k y l t y R
scène	s E n
scènes	s E n
scénario	s e n a R j o
scénique	s e n i k
se	s @
seau	s o
sebkha	s E b k a
sec	s E k
second	s @ g O~
secondaire	s @ g O~ d E R
seconde	s @ g O~ d
seconder	s @ g O~ d e
secondé	s @ g O~ d e
secourir	s @ k u R i R
secours	s @ k u R
secousse	s @ k u s
secret	s @ k R E
secrets	s @ k R E
secrétaire	s @ k R e t E R
secrétariat	s @ k R e t a R j a
secte	s E k t
sectes	s E k t
secteur	s E k t 9 R
section	s E k s j O~
seiche	s E S
seigle	s E g l
seigneur	s e J 9 R
seigneurie	s E J 9 R i
sein	s E~
seine	s E n
seins	s E~
seize	s E z
seizième	s E z j E m
seizièmes	s E z j E m
sel	s E l
selle	s E l
sellerie	s E l R i
selles	s E l
sellier	s e l j e
selon	s @ l O~
sels	s E l
semaine	s @ m E n
semblable	s A~ b l a b l
sembler	s A~ b l e
semelle	s @ m E l
semence	s @ m A~ s
semer	s @ m e
semestre	s @ m E s t R
semestres	s @ m E s t R
semiconducteur	s @ m i k O~ d y k t 9 R
senestre	s @ n E s t R
senior	s e n j O R
sens	s A~ s
sensation	s A~ s a s j O~
sensei	s E n s E j
sensible	s A~ s i b l
sensitive	s A~ s i t i v
sentant	s A~ t A~
sentence	s A~ t A~ s
senti	s A~ t i
sentier	s A~ t j e
sentiers	s A~ t j e
sentiment	s A~ t i m A~
sentimental	s A~ t i m A~ t a l
sentimentale	s A~ t i m A~ t a l
sentimentales	s A~ t i m A~ t a l
sentimentaux	s A~ t i m A~ t o
sentinelle	s A~ t i n E l
sentir	s A~ t i R
sept	s E t
septante	s E p t A~ t
septembre	s E p t A~ b R
septentrional	s E p t A~ t R i j O n a l
septentrionale	s E p t A~ t R i j O n a l
septentrionales	s E p t A~ t R i j O n a l
septentrionaux	s E p t A~ t R i j O n o
septicémie	s E p t i s e m i
septique	s E p t i k
septième	s E t j E m
sera	s R a
serai	s R e
seraient	s R E
serait	s R E
seras	s R A
serbe	s E R b
serein	s @ R E~
serf	s E R
sergent	s E R Z A~
sergents	s E R Z A~
serin	s @ R E~
seringue	s @ R E~ g
serment	s E R m A~
sermon	s E R m O~
sermons	s E R m O~
seront	s R O~
serpent	s E R p A~
serra	s e R a
serre	s E R
serrer	s e R e
serres	s E R
serrure	s e R y R
serrurerie	s e R y R R i
serrurier	s E R y R j e
serré	s e R e
serrée	s e R e
serrées	s e R e
serrés	s e R e
sers	s E R
sert	s E R
servage	s E R v a Z
servante	s E R v A~ t
serve	s E R v
servent	s E R v
serveur	s E R v 9 R
serveuse	s E R v 2 z
service	s E R v i s
serviette	s E R v j E t
serviettes	s E R v j E t
servile	s E R v i l
servir	s E R v i R
serviteur	s E R v i t 9 R
ses	s e
session	s E s j O~
set	s E t
seuil	s 9 j
seul	s 9 l
seule	s 9 l
seulement	s 9 l m A~
sevrage	s @ v R a Z
sexe	s E k s
sexologie	s E k s O l O Z i
sexualité	s E k s H a l i t e
sexuel	s E k s H E l
sexuellement	s e k s H E l m A~
sexy	s E k s i
shabbat	S a b a t
shaka	S E k a
shintoïsme	S i n t o i s m
shogun	S O g u n
shooter	S u t e
shooting	S u t i N
shopping	S O p i N
short	S O R t
show	S o
shows	S o
shérif	S e R i f
si	s i
siamois	s j a m w a
sibérien	s i b e R j E~
sicilien	s i s i l j E~
sida	s i d a
sidérurgie	s i d e R y R Z i
siemens	s i m E n s
sien	s j E~
sieste	s j E s t
sieur	s j 9 R
sifflement	s i f l @ m A~
sifflet	s i f l E
sigma	s i g m a
signal	s i J a l
signaler	s i J a l e
signalisation	s i J a l i z a s j O~
signature	s i J a t y R
signe	s i J
signent	s i J
signer	s i J e
signes	s i J
signifiant	s i J i f j A~
significatif	s i J i f i k a t i f
signification	s i J i f i k a s j O~
significations	s i J i f i k a s j O~
signifie	s i J i f i
signifier	s i J i f j e
signifié	s i J i f j e
silence	s i l A~ s
silences	s i l A~ s
silencieux	s i l A~ s j 2
silex	s i l E k s
silhouette	s i l w E t
silice	s i l i s
silicium	s i l i s j O m
sillon	s i j O~
silo	s i l o
similarité	s i m i l a R i t e
similarités	s i m i l a R i t e
simple	s E~ p l
simplement	s E~ p l @ m A~
simplicité	s E~ p l i s i t e
simulacre	s i m y l a k R
simuler	s i m y l e
simultané	s i m y l t a n e
simultanément	s i m y l t a n e m A~
sincère	s E~ s E R
sincèrement	s E~ s E R m A~
sincérité	s E~ s e R i t e
singe	s E~ Z
singulier	s E~ g y l j e
sinistre	s i n i s t R
sinistres	s i n i s t R
sinogramme	s i n O g R a m
sinogrammes	s i n O g R a m
sinon	s i n O~
sinople	s i n O p l
sinus	s i n y s
sinusoïdal	s i n y z O i d a l
sire	s i R
sires	s i R
sirop	s i R o
sirène	s i R E n
sis	s i
sismique	s i s m i k
sitcom	s i t k O m
situation	s i t H a s j O~
situer	s i t H e
sitôt	s i t o
six	s i s
sixième	s i z j E m
sixte	s i k s t
siècle	s j E k l
siècles	s j E k l
siège	s j E Z
siéger	s j e Z e
skeleton	s k e l e t O~
sketch	s k E tS
ski	s k i
skieur	s k i 9 R
skieuse	s k i 2 z
skipper	s k i p e
slalom	s l a l O m
slave	s l a v
slavon	s l a v O~
slip	s l i
slovaque	s l O v a k
slovène	s l O v E n
slow	s l o
smartphone	s m a R t f O n
smash	s m a S
smoking	s m O k i N
snack	s n a k
sniper	s n a j p 9 R
snooker	s n u k E R
snowboard	s n o b O R d
snowboardeur	s n o b O R d 9 R
soap	s o p
