ALES	a_" l e s
roenkargáta	4 o e~ N k a 4 M\_" a_" t a
rofarrea	4 o f a r e a_"
rofarrea	4 o h a r e a_"
rofavrikáta	4 o f a B 4 i k_" a_" t a
rofavrikáta	4 o h a v 4 i k_" a_" t a
rogahta	4 o G a h t_" a_"
rogahta	4 o M\ a h t_" a_"
rogakuépe	4 o M\ a k_" w_" e_" p e
roganáma	4 o G a~ n_" a~_" m a~
roganáma	4 o M\ a~ n_" a~_" m a~
roganáva	4 o G a~ n_" a~_" v a
roganáva	4 o M\ a~ n_" a~_" a
roganáva	4 o M\ a~ n_" a~_" v a
rogapegua	4 o M\ a p e M\_" w_" a_"
rogarã	4 o M\ a~ 4_" a~_"
rogueraha	4 o 4 a h_" a_"
rogueraha	4 o M\ w e 4 a h_" a_"
roguerahauka	4 o 4 a h a w k_" a_"
roguerahauka	4 o M\ w e 4 a h a w k_" a_"
rogueraháta	4 o 4 a h_" a_" t a
rogueraháta	4 o M\ w e 4 a h_" a_" t a
roguereko	4 o 4 e k_" o_"
roguereko	4 o M\ w e 4 e k_" o_"
roguerekóta	4 o 4 e k_" o_" t a
roguerekóta	4 o M\ w e 4 e k_" o_" t a
roguerukáta	4 o 4 u k_" a_" t a
roguerukáta	4 o M\ w e 4 u k_" a_" t a
rog̃uahẽ	4 o~ M\~ w a~ h_" e~_"
rog̃uahẽta	4 o~ M\~ w a~ h_" e~_" t a~
roha'arõ	4 o~ h a~ ? a~ 4_" o~_"
roha'arõta	4 o~ h a~ ? a~ 4_" o~_" t a~
roha'arõtama	4 o~ h a~ ? a~ 4_" o~_" t a~ m a~
roha'ã	4 o~ h a~ ?_" a~_"
rohecha	4 o h e S_" a_"
rohechaga'ueterei	4 o h e S a M\ a ? u e t e 4 e i_"
rohechami	4 o h e S a~ m_" i~_"
rohechamíta	4 o h e S a~ m_" i~_" t a~
rohechase	4 o h e S a s_" e_"
rohechauka	4 o h e S a w k_" a_"
rohecháramo	4 o h e S_" a_" 4 a~ m o~
rohecháta	4 o h e S_" a_" t a
rohechátama	4 o h e S_" a_" t a~ m a~
rohejami	4 o h e dZ a~ m_" i~_"
rohejáta	4 o h e dj_" a_" t a
roheka	4 o h e k_" a_"
rohendu'asyeterei	4 o h e~ dn u ? a s 1 e t e 4 e i_"
rohendu	4 o h e~ dn_" u_"
rohenduiete	4 o~ h e~ dn u j e t_" e_"
rohendumírõ	4 o h e~ dn u~ m_" i~_" 4 o~
rohendúma	4 o h e~ dn_" u_" m a~
rohendúngo	4 o h e~ dn_" u_" gN o
rohendúta	4 o h e~ dn_" u_" t a
rohenoimo'ã	4 o h e~ n o~ j m o~ ?_" a~_"
rohenói	4 o h e~ n_" o~_" j_"
rohenóintengo	4 o h e~ n_" o~_" j_" tn e~ gN o
rohenóita	4 o h e~ n_" o~_" j_" t a~
rohenóitango	4 o h e~ n_" o~_" j_" t a~ gN o
roho	4 o h_" o_"
rohoha	4 o h o h_" a_"
rohohápe	4 o h o h_" a_" p e
rohoite	4 o h o j t_" e_"
rohoiténgo	4 o h o j t_" e_" gN o
rohojepi	4 o h_" o_" dZ e p i
rohokuéo	4 o h o k_" w_" e_" o
rohomi	4 o h o~ m_" i~_"
rohopase	4 o h o p a s_" e_"
rohopáta	4 o h o p_" a_" t a
rohose	4 o h o s_" e_"
rohoséva	4 o h o s_" e_" a
rohoséva	4 o h o s_" e_" v a
rohuga	4 o x u G_" a_"
rohuga	4 o x u M\_" a_"
rohugase	4 o x u G_% a_% s_" e_"
rohugase	4 o x u M\_% a_% s_" e_"
rohugáta	4 o x u G_" a_" t a
rohugáta	4 o x u M\_" a_" t a
rohupi	4 o h u p_" i_"
rohupíta	4 o h u p_" i_" t a
rohóta	4 o h_" o_" t a
rohótama	4 o h_" o_" t a~ m a~
roiko	4 o j k_" o_"
roikotevẽ	4 o j k o t e~ v_" e~_"
roikuaa	4 o j k w a a_"
roikérõ	4 o j k_" e_" 4 o~
roime	4 o~ j m_" e~_"
roimehápe	4 o j m e~ h_" a_" p e
roimemba	4 o j m e~ bm_" a_"
roimétaiti	4 o~ j m_" e~_" t a~ j t i
roinvitáta	4 o i~ bm i t_" a_" t a
roinvitáta	4 o i~ m b i t_" a_" t a
roipytyvõ	4 o j p 1 t 1~ v_" o~_"
roity	4 o j t_" 1_"
rojagarra	4 o dZ a G a r_" a_"
rojagarra	4 o dZ a M\ a r_" a_"
rojapo'imi	4 o dZ a p o ? i~ m_" i~_"
rojapo	4 o dZ a p_" o_"
rojapopa	4 o dZ a p o p_" a_"
rojapose	4 o dZ a p o s_" e_"
rojapóta	4 o dZ a p_" o_" t a
rojeavisa	4 o dZ e a B i s_" a_"
rojeavisa	4 o dZ e a v i s_" a_"
rojedivorsiáma	4 o dZ e D i B o 4 s_" j_" a_" m a~
rojedivorsiáma	4 o dZ e D i v o 4 s_" j_" a_" m a~
rojeekivoka	4 o dZ e k i B o k_" a_"
rojeekivoka	4 o dZ e k i v o k_" a_"
rojekeháta	4 o dZ e k e x_" a_" t a
rojekolavorapáta	4 o dZ e k o l a B o 4_% a_% p_" a_" t a
rojekolavorapáta	4 o dZ e k o l a v o 4_% a_% p_" a_" t a
rojeroky	4 o dZ e 4 o k_" 1_"
rojogapo	4 o dZ o M\ a p_" o_"
rojogua	4 o dZ o M\_" w_" a_"
rojoguase	4 o dZ o M\ w a s_" e_"
rojoheipa	4 o dZ o h e j p_" a_"
rojohéi	4 o dZ o h_" e_" j_"
roju	4 o dj_" u_"
rojupíma	4 o dZ u p_" i_" m a~
rojuse	4 o dZ u s_" e_"
rojúta	4 o dj_" u_" t a
rojúvo	4 o dj_" u_" o
rojúvo	4 o dj_" u_" v o
rokarnea	4 o k a 4 n e~ a_"
rokaru	4 o k a 4_" u_"
roke	4 o k_" e_"
rokonsegi	4 o k o~ n s e G_" i_"
rokonsegi	4 o k o~ s e M\_" i_"
rokontroláta	4 o k o~ n t 4 o l_" a_" t a
rokontroláta	4 o k o~ t 4 o l_" a_" t a
rokontroláta	4 o k o~ t s` o l_" a_" t a
rokrusáta	4 o k 4 u s_" a_" t a
romaña	4 o~ m a~ J_" a~_"
romba'apo	4 o~ bm a ? a p_" o_"
romba'apopa	4 o~ bm a ? a p o p_" a_"
romba'apóta	4 o~ bm a ? a p_" o_" t a
rombo'e	4 o~ bm o ?_" e_"
rombotavységuiva	4 o~ bm o t a v 1 s_" e_" M\ w i a
rombotavységuiva	4 o~ bm o t a v 1 s_" e_" M\ w i v a
rombotavýta	4 o~ bm o t a v_" 1_" t a
rome'ẽma	4 o~ m e~ ?_" e~_" m a~
romoinge	4 o~ m o~ j gN_" e_"
romokãta	4 o~ m o~ k_" a~_" t a~
romokõve	4 o~ m o~ k o~ v_" e_"
romokõverõ	4 o~ m o~ k o~ e~ 4_" o~_"
romokõverõ	4 o~ m o~ k o~ v e~ 4_" o~_"
romomaiteimi	4 o~ m o~ m a~ j t e~ j m_" i~_"
romomerendáta	4 o~ m o~ m e~ 4 e~ dn_" a_" t a
romomerendáta	4 o~ m o~ m e~ 4 e~ n d_" a_" t a
romopotĩ	4 o~ m o~ p o~ t_" i~_"
romopotĩmba	4 o~ m o~ p o t i~ bm_" a_"
romopotĩmbáta	4 o~ m o~ p o t i~ bm_" a_" t a
romoĩ	4 o~ m o~ i~_"
ropillapaite	4 o p i L_% a_% p a j t_" e_"
roprepara	4 o p 4 e p a 4_" a_"
roprovee'i	4 o p 4 o B e e_% ?_" i_"
roprovee'i	4 o p 4 o v e e_% ?_" i_"
ropuka	4 o p u k_" a_"
ropyta	4 o p 1 t_" a_"
ropytapa	4 o p 1 t a p_" a_"
ropytáko	4 o p 1 t_" a_" k o
ropytáma	4 o p 1 t_" a_" m a~
rorambosáta	4 o 4 a~ bm o s_" a_" t a
rorretira	4 o r e t i 4_" a_"
rory	4 o 4_" 1_"
rosegi	4 o s e G_" i_"
rosegi	4 o s e M\_" i_"
rosẽ	4 o~ s_" e~_"
roterere	4 o t e 4 e 4_" e_"
rotrosáta	4 o t 4 o s_" a_" t a
rotrosáta	4 o t s` o s_" a_" t a
rova	4 o v_" a_"
rovaja	4 o a dj_" a_"
rovaja	4 o v a dj_" a_"
rovajápe	4 o a dj_" a_" p e
rovajápe	4 o v a dj_" a_" p e
roviaha	4 o B j a x_" a_"
roviaha	4 o v j a x_" a_"
rovisita	4 o B i s i t_" a_"
rovisita	4 o v i s i t_" a_"
rovy'a	4 o 1 ?_" a_"
rovy'a	4 o v 1 ?_" a_"
rovy'aiterei	4 o 1 ? a j t e 4 e i_"
rovy'aiterei	4 o v 1 ? a j t e 4 e i_"
rovy'aitereígui	4 o 1 ? a j t e 4 e i_" M\ w i
rovy'aitereígui	4 o v 1 ? a j t e 4 e i_" M\ w i
rovy'apa	4 o 1 ? a p_" a_"
rovy'apa	4 o v 1 ? a p_" a_"
rovái	4 o v_" a_" j_"
rováre	4 o v_" a_" 4 e
roñapĩ	4 o~ J a~ p_" i~_"
roñe'ẽ	4 o~ J e~ ?_" e~_"
roñe'ẽtaramo	4 o~ J e~ ?_" e~_" t a~ 4 a~ m o~
roñeakomoda	4 o~ J e~ a k o~ m o~ D_" a_"
roñeentregáta	4 o~ J e~ e~ n t 4 e G_" a_" t a
roñeentregáta	4 o~ J e~ e~ t 4 e M\_" a_" t a
roñeentregáta	4 o~ J e~ e~ t s` e M\_" a_" t a
roñeha'ãmbaitéta	4 o~ J e~ h a~ ? a~ bm a j t_" e_" t a
roñeha'ãmbaitétango	4 o~ J e~ h a~ ? a~ bm a j t_" e_" t a~ gN o
roñeha'ãta	4 o~ J e~ h a~ ?_" a~_" t a~
roñembyaty	4 o~ J e~ bm 1 a t_" 1_"
roñemongeta	4 o~ J e~ m o~ gN e t_" a_"
roñepyrũ	4 o~ J e~ p 1~ 4_" u~_"
roñepyrũma	4 o~ J e~ p 1~ 4_" u~_" m a~
roñohẽta	4 o~ J o~ h_" e~_" t a~
roĩ	4 o~ i~_"
roĩmbaite	4 o i~ bm a j t_" e_"
rradiografía	r a D j o G 4 a f_" i_" a
rradiografía	r a D j o M\ 4 a h_" i_" a
rradiolohía	r a D j o l o x_" i_" a
rrahtreo'i	r a h t_% 4_% e_% o ?_" i_"
rrahtreo'i	r a h t_% s`_% e_% o ?_" i_"
rramíta	r a m_" i~_" t a
rrasõngo	r a s_" o~_" gN o
rrasõngo	r a s_" o~_" n_" gN o
rre	r_" e_"
rre	r_" e_" D_"
rreaksiõ	r e a h s_" j_" o~_"
rreaksiõ	r e a k s_" j_" o~_" N_"
rrealida	r e a l i D_" a_"
rrealida	r e a l i D_" a_" D_"
rrefleksiõ	r e f l e k s_" j_" o~_" N_"
rrefleksiõ	r e h l e h s_" j_" o~_"
rregalorã	r e G_% a_% l o 4_" a~_"
rregalorã	r e M\_% a_% l o 4_" a~_"
rregalorãngo	r e G_% a_% l o 4_" a~_" gN o
rregalorãngo	r e M\_% a_% l o 4_" a~_" gN o
rregalátante	r e G a l_" a_" t a~ tn e
rregalátante	r e M\ a l_" a_" t a~ tn e
rregálo	r e G_" a_" l o
rregálo	r e M\_" a_" l o
rrehihtráko	r e x i h t_" 4_" a_" k o
rrehihtráko	r e x i h t_" s`_" a_" k o
rrehponsavilida	r e h p o~ s a v i l i D_" a_"
rrehponsavilida	r e s p o~ n s a B i l i D_" a_" D_"
rrehponsávle	r e h p o~ s_" a_" v l e
rrehponsávle	r e s p o~ n s_" a_" B l e
rrekonsiliasiõ	r_% e_% k o~ n s i l j a s_" j_" o~_" N_"
rrekonsiliasiõ	r_% e_% k o~ s i l j a s_" j_" o~_"
rrekorrída	r e k o r_" i_" D a
rrekorrído	r e k o r_" i_" D o
rrekuerdokuemi	r e k_% w_% e_% 4_% D o k w e~ m_" i~_"
rrekuérare	r_% e_% D e h k_" w_" e_" 4 a 4 e
rrekuérare	r_% e_% k_" w_" e_" 4 a 4 e
rrekuérdo	r e k_" w_" e_" 4_" D o
rrekádo	r e k_" a_" D o
rrekéri	r e k e 4_" i_"
rrellenorãnte	r e L_% e_% n o~ 4_" a~_" tn e
rrepénte	r e p_" e~_" n_" t e
rrepénte	r e p_" e~_" tn e
rrepéntente	r e p_" e~_" n_" t e~ tn e
rrepéntente	r e p_" e~_" tn e~ tn e
rrepóllo	r e p_" o_" L o
rrepóso	r e p_" o_" s o
rresepsioníhta	r e s e p s j o~ n_" i~_" s_" t a
rresepsioníhta	r e s e s j o~ n_" i~_" h_" t a
rresepsioníhtango	r e s e p s j o~ n_" i~_" h_" t a k o
rresepsioníhtango	r e s e p s j o~ n_" i~_" h_" t a~ gN o
rreserva	r e s e 4 B_" a_" 4_"
rreserva	r e s e 4 v_" a_"
rreservádo	r e s e 4 B_" a_" D o
rreservádo	r e s e 4 v_" a_" D o
rreservádope	r e s e 4 B_" a_" D o p e
rreservádope	r e s e 4 v_" a_" D o p e
rresivido	r e s i B i D_" o_" 4_"
rresivido	r e s i v i D_" o_"
rresiẽ	r e s_" j_" e~_"
rresiẽ	r e s_" j_" e~_" N_"
rresultadokuéra	r e s u l t_% a_% D o h k_" w_" e_" 4 a
rresultadokuéra	r e s u l t_% a_% D o k_" w_" e_" 4 a
rresultádo	r e s u l t_" a_" D o
rresultádoko	r e s u l t_" a_" D o k o
rreumatíhmo	r e w m a~ t_" i_" h_" m o~
rreumatíhmo	r e w m a~ t_" i_" s_" m o~
rreuniõ	r e w n_" j_" o~_"
rreuniõ	r e w n_" j_" o~_" N_"
rreuniõgui	r e~ w n_" j_" o~_" M\ w i
rreuniõgui	r e~ w n_" j_" o~_" n_" M\ w i
rreuniõhápe	r e~ w n_% j_% o~_% h_" a_" p e
rreuniõhápe	r e~ w n_% j_% o~_% n_% h_" a_" p e
rreventa	r e B e~ n t_" a_" 4_"
rreventa	r e v e~ tn_" a_"
rrevisa	r e B i s_" a_" 4_"
rrevisa	r e v i s_" a_"
rrevivi	r e B i B_" i_"
rrevivi	r e v i v_" i_"
rrevovinádo	r_% e_% B o B i~ n_" a~_" D o
rrevovinádo	r_% e_% v o v i~ n_" a~_" D o
rreñidovéta	r e~ J_% i~_% D o v_" e_" t a
rreúma	r_" e_" w_" m a~
rrikísimo	r i k_" i_" s i~ m o~
rrodílla	r o D_" i_" L a
rropero'i	r o p_% e_% 4 o ?_" i_"
rropéro	r o p_" e_" 4 o
rropérope	r o p_" e_" 4 o p e
rruído	r_" w_" i_" D o
rráma	r_" a~_" m a~
rráto	r_" a_" t o
rréfere	r_" e_" f e 4 e
rréfere	r_" e_" h e 4 e
rréhto	r_" e_" h_" t o
rréhto	r_" e_" s_" t o
rréicha	r_" e_" j_" S a
rréjeh	r_" e_" dZ e h
rréjeh	r_" e_" j\ e s
rréjehpe	r_" e_" dZ e h p e
rréjehpe	r_" e_" j\ e h p e
rríko	r_" i_" k o
rrío	r_" i_" o
rríope	r_" i_" o p e
rróha	r_" o_" x a
rrópa	r_" o_" p a
rrúda	r_" u_" D a
rrúta	r_" u_" t a
rrútape	r_" u_" t a p e
rrúvia	r_" u_" B j a
rrúvia	r_" u_" v j a
rrúviare	r_" u_" B j a 4 e
rrúviare	r_" u_" v j a 4 e
ru	4_" u_"
rug̃uaitĩ	4 u~ M\~ w a~ j t_" i~_"
rupa	4 u p_" a_"
rupi'a	4 u p i ?_" a_"
rupi	4 u p_" i_"
rupíko	4 u p_" i_" k o
rupíma	4 u p_" i_" m a~
rupínte	4 u p_" i_" tn e
rupíntema	4 u p_" i_" tn e~ m a~
ry'ái	4 1 ?_" a_" j_"
ryapúgui	4 1 a p_" u_" M\ w i
rye	4 1 e_"
ryeraku	4 1 e 4 a k_" u_"
ryguasu	4 1 M\ w a s_" u_"
ryguasukuéra	4 1 M\ w a s u k_" w_" e_" 4 a
ryg̃uatã	4 1~ M\~ w a~ t_" a~_"
rykuepa	4 1 k w e p_" a_"
rã	4_" a~_"
réicha	4_" e_" j_" S a
réra	4_" e_" 4 a
rérape	4_" e_" 4 a p e
rérapeko	4_" e_" 4 a p e k o
róga	4_" o_" M\ a
rógagui	4_" o_" M\ a M\ w i
rógape	4_" o_" M\ a p e
sa'i	s a ?_" i_"
sa'iete	s a ? i e t_" e_"
sa'ieterei	s a ? i e t e 4 e i_"
sa'ietereíko	s a ? i e t e 4 e i_" k o
sa'ietereíma	s a ? i e t e 4 e i_" m a~
sa'ietereímango	s a ? i e t e 4 e i_" m a~ gN o
sa'imi	s a ? i~ m_" i~_"
sa'imínte	s a ? i~ m_" i~_" tn e
sa'ícha	s a ?_" i_" S a
sa'íma	s a ?_" i_" m a~
sa'ínteko	s a ?_" i_" tn e k o
sakrifisio'imi	s a k 4 i f_% i_% s j o ? i~ m_" i~_"
sakrifisio'imi	s a k 4 i h_% i_% s j o ? i~ m_" i~_"
sali	s a l_" i_"
sali	s a l_" i_" 4_"
salu	s a l_" u_"
salu	s a l_" u_" D_"
saluda'imi	s a l u D_% a_% ? i~ m_" i~_"
saludomi	s a l_% u_% D o~ m_" i~_"
saludomína	s a l_% u_% D o~ m_" i~_" n a~
salvaite	s a l B_% a_% j_% t_" e_"
salvaite	s a l v_% a_% j_% t_" e_"
salvapaitéva	s a l B_% a_% p a j t_" e_" v a
salvapaitéva	s a l v_% a_% p a j t_" e_" a
salvapaitéva	s a l v_% a_% p a j t_" e_" v a
salvatore	s a l B a t_" o_" 4 e
salvatore	s a l v a t_" o_" 4 e
salída	s a l_" i_" D a
salímoh	s a l_" i~_" m o~ h
salímoh	s a l_" i~_" m o~ s
salúdo	s a l_" u_" D o
salúdoh	s a l_" u_" D o h
salúdoh	s a l_" u_" D o s
salúdokena	s a l_" u_" D o k e~ n a~
sanatório	s a~ n a~ t_" o_" 4 j o
santarã	s_% a~_% n_% t a 4_" a~_"
santarã	s_% a~_% tn a 4_" a~_"
sapatu	s a p a t_" u_"
sapy'a	s a p 1 ?_" a_"
sapy'aite	s a p 1 ? a j t_" e_"
sapy'aitemi	s a p 1 ? a j t e~ m_" i~_"
sapy'aitemínte	s a p 1 ? a j t e~ m_" i~_" tn e
sapy'aiteve	s a p 1 ? a j t e v_" e_"
sapy'aiténgo	s a p 1 ? a j t_" e_" gN o
sapy'aiténteko	s a p 1 ? a j t_" e_" tn e k o
sapy'aitépe	s a p 1 ? a j t_" e_" p e
sapy'apy'a	s a p 1 ? a p 1 ?_" a_"
sapy'áko	s a p 1 ?_" a_" k o
sapy'ánte	s a p 1 ?_" a_" tn e
sarambi	s a 4 a~ bm_" i_"
sarambíngo	s a 4 a~ bm_" i_" gN o
sartélo	s a 4 t_" e_" l o
savadokue	s_% a_% B a D o k_" w_" e_"
savadokue	s_% a_% v a D o k_" w_" e_"
savadokuénte	s_% a_% B a D o k_" w_" e~_" tn e
savadokuénte	s_% a_% v a D o k_" w_" e~_" tn e
se	s_" e_"
seguraménte	s e G u 4 a~ m_" e~_" n_" t e
seguraménte	s e M\ u 4 a~ m_" e~_" tn e
segído	s e G_" i_" D o
segído	s e M\_" i_" D o
segínte	s e G_" i_" tn e
segínte	s e M\_" i_" tn e
segúnda	s e G_" u~_" n_" d a
segúnda	s e M\_" u~_" dn a
segúndo	s e G_" u~_" n_" d o
segúndo	s e M\_" u~_" dn o
segúndoma	s e G_" u~_" n_" d o~ m a~
segúndoma	s e M\_" u~_" dn o~ m a~
segúro	s e G_" u_" 4 o
segúro	s e M\_" u_" 4 o
segũ	s e G_" u~_" N_"
segũ	s e M\_" u~_"
sekretária	s_% e_% k 4 e t a 4_" i_" a
sekretário	s e k 4 e t_" a_" 4 j o
sel	s_" e_" l_"
seleksiõpe	s e l e h s_" j_" o~_" p e
seleksiõpe	s e l e k s_" j_" o~_" n_" p e
selula	s e l u l_" a_"
selula	s e l u l_" a_" 4_"
selularã	s e l u l_% a_% 4_" a~_"
selulápe	s e l u l_" a_" 4_" p e
selulápe	s e l u l_" a_" p e
semanahháma	s e~ m_% a~_% n a~ h_" a_" m a~
semanahháma	s e~ m_% a~_% n a~ s h_" a_" m a~
semanakuérama	s e~ m_% a~_% n a~ h k_" w_" e_" 4 a~ m a~
semanarã	s e~ m_% a~_% n a~ 4_" a~_"
sementériope	s e~ m e~ n t_" e_" 4 j o p e
sementériope	s e~ m e~ t_" e_" 4 j o p e
semillíta	s e~ m i~ L_" i_" t a
semána	s e~ m_" a~_" n a~
semánah	s e~ m_" a~_" n a~ h
semánah	s e~ m_" a~_" n a~ s
semánahma	s e~ m_" a~_" n a~ h m a~
semánama	s e~ m_" a~_" n a~ m a~
semánape	s e~ m_" a~_" n a~ p e
semánapente	s e~ m_" a~_" n a~ p e~ tn e
senagua	s e~ n_% a~_% M\_" w_" a_"
senarãma	s e~ n_% a~_% 4_" a~_" m a~
senior	s_" e~_" n j o
senior	s_" e~_" n j o 4
sensíllo	s e~ n s_" i_" L o
sensíllo	s e~ s_" i_" L o
sentroite	s_% e~_% n_% t 4 o j t_" e_"
sentroite	s_% e~_% t 4 o j t_" e_"
sentroite	s_% e~_% t s` o j t_" e_"
sentroitépe	s_% e~_% n_% t 4 o j t_" e_" p e
sentroitépe	s_% e~_% t 4 o j t_" e_" p e
sentroitépe	s_% e~_% t s` o j t_" e_" p e
sentído	s e~ n t_" i_" D o
sentído	s e~ tn_" i_" D o
sentídope	s e~ tn_" i_" D o p e
sera	s e 4_" a_"
serenatapa	s e 4 e~ n_% a~_% t a p_" a_"
serenátarõ	s e 4 e~ n_" a~_" t a 4 o~
serieda	s e 4 j e D_" a_"
serieda	s e 4 j e D_" a_" D_"
sertifikádo	s e 4 t i f i k_" a_" D o
sertifikádo	s e 4 t i h i k_" a_" D o
servesíta	s e 4 B e s_" i_" t a
servesíta	s e 4 v e s_" i_" t a
servésa	s e 4 B_" e_" s a
servésa	s e 4 v_" e_" s a
servísio	s e 4 B_" i_" s j o
servísio	s e 4 v_" i_" s j o
sesáreape	s e s_" a_" 4 e a p e
setesiéntoh	s e t e s_" j_" e~_" n_" t o s
setesiéntoh	s e t e s_" j_" e~_" tn o h
setiémbre	s e t_" j_" e~_" bm 4 e
setiémbre	s e t_" j_" e~_" m_" b 4 e
setiémbrepe	s e t_" j_" e~_" bm 4 e p e
setiémbrepe	s e t_" j_" e~_" m_" b 4 e p e
seténta	s e t_" e~_" n_" t a
seténta	s e t_" e~_" tn a
sevo'i	s e o ?_" i_"
sevo'i	s e v o ?_" i_"
sevo'ikuéra	s e o ? i k_" w_" e_" 4 a
sevo'ikuéra	s e v o ? i k_" w_" e_" 4 a
sevólla	s e B_" o_" L a
sevólla	s e v_" o_" j_"
señal	s e~ J_" a~_" l_"
seño	s e~ J_" o~_"
seño	s e~ J_" o~_" 4_"
señóra	s e~ J_" o~_" 4 a
shopping-kuéra	S_% o_% p i~ N k_" w_" e_" 4 a
shopping-kuéra	S_% o_% p i~ k_" w_" e_" 4 a
shopping-kuérape	S_% o_% p i~ N k_" w_" e_" 4 a p e
shopping-kuérape	S_% o_% p i~ k_" w_" e_" 4 a p e
shopping	S_" o_" p i~
shopping	S_" o_" p i~ N
short	S_" o_" 4_"
short	S_" o_" 4_" t_"
show	S_" o_" w_"
si	s_" i_"
siegorã	s_% j_% e_% G o 4_" a~_"
siegorã	s_% j_% e_% M\ o 4_" a~_"
siegorãma	s_% j_% e_% G o 4_" a~_" m a~
siegorãma	s_% j_% e_% M\ o 4_" a~_" m a~
sientífikamentengo	s j e~ n t_" i_" f i k a~ m e~ n t e k o
sientífikamentengo	s j e~ n t_" i_" f i k a~ m e~ n t e~ gN o
sientífikamentengo	s j e~ tn_" i_" h i k a~ m e~ tn e k o
sientífikamentengo	s j e~ tn_" i_" h i k a~ m e~ tn e~ gN o
siertoha	s_% j_% e_% 4_% t o h_" a_"
siertoite	s_% j_% e_% 4_% t o j t_" e_"
sietekuéra	s_% j_% e_% t e k_" w_" e_" 4 a
sietekuéramango	s_% j_% e_% t e k_" w_" e_" 4 a~ m a~ gN o
sietekuérape	s_% j_% e_% t e k_" w_" e_" 4 a p e
sigiénte	s i G_" j_" e~_" n_" t e
sigiénte	s i M\_" j_" e~_" tn e
sihtéma	s i h t_" e~_" m a~
sihtéma	s i s t_" e~_" m a~
sikolohía	s i k o l o x_" i_" a
sillõkuéra	s i L_% o~_% k_" w_" e_" 4 a
sillõkuéra	s i L_% o~_% n e h k_" w_" e_" 4 a
silvéhtre	s i l B_" e_" s_" t 4 e
silvéhtre	s i l v_" e_" h_" t 4 e
silvéhtre	s i l v_" e_" h_" t s` e
silénsio	s i l_" e~_" n_" s j o
silénsio	s i l_" e~_" s j o
simpátika	s i~ m p_" a_" t i k a
sinkokuéra	s_% i~_% N_% k o k_" w_" e_" 4 a
sinkovéva	s_% i~_% N_% k o v_" e_" a
sinkovéva	s_% i~_% N_% k o v_" e_" v a
sinkuénta	s i~ N k_" w_" e~_" n_" t a
sinkuénta	s i~ N k_" w_" e~_" tn a
sintúra	s i~ n t_" u_" 4 a
sintúra	s i~ tn_" u_" 4 a
sinóngo	s i~ n_" o~_" gN o
siruhíape	s i 4 u x_" i_" a p e
situasiõ	s i t w a s_" j_" o~_"
situasiõ	s i t w a s_" j_" o~_" N_"
siégo	s_" j_" e_" G o
siégo	s_" j_" e_" M\ o
siémpre	s_" j_" e~_" m_" p 4 e
siémpreko	s_" j_" e~_" m_" p 4 e k o
siémprente	s_" j_" e~_" m_" p 4 e~ tn e
siémprepy	s_" j_" e~_" m_" p 4 e p 1
siéndo	s_" j_" e~_" dn o
siéndo	s_" j_" e~_" n_" d o
siénto	s_" j_" e~_" n_" t o
siénto	s_" j_" e~_" tn o
siérrako	s_" j_" e_" r a k o
siérre	s_" j_" e_" r e
siérto	s_" j_" e_" 4_" t o
siéte	s_" j_" e_" t e
siẽ	s_" j_" e~_"
siẽ	s_" j_" e~_" N_"
so'o	s o ?_" o_"
so'ógui	s o ?_" o_" M\ w i
sofa	s o f_" a_"
sofa	s o h_" a_"
sogue	s o M\_" w_" e_"
soguégui	s o M\_" w_" e_" M\ w i
soguére	s o M\_" w_" e_" 4 e
soguéreko	s o M\_" w_" e_" 4 e k o
sokórro	s o k_" o_" r o
solaménte	s_% o_% l a~ m_" e~_" n_" t e
solaménte	s_% o_% l a~ m_" e~_" tn e
solisitu	s o l i s i t_" u_"
solisitu	s o l i s i t_" u_" D_"
soltéra	s o l t_" e_" 4 a
solusionambaite	s o l u s j o~ n_% a~_% bm a j t_" e_"
solusiõ	s o l u s_" j_" o~_"
solusiõ	s o l u s_" j_" o~_" N_"
sombrillapa	s o~ bm_% 4_% i_% L a p_" a_"
sombrillapa	s o~ m b_% 4_% i_% L a p_" a_"
sombríllagui	s o~ bm_" 4_" i_" L a M\ w i
sombríllagui	s o~ m b_" 4_" i_" L a M\ w i
sopapo	s o p_" a_" p o
sorpresíta	s o 4 p 4 e s_" i_" t a
sosioite	s_% o_% s j o j t_" e_"
sosiokuérape	s_% o_% s j o h k_" w_" e_" 4 a p e
sosiokuérape	s_% o_% s j o k_" w_" e_" 4 a p e
sovrinakuéra	s o B_% 4_% i_% n a~ h k_" w_" e_" 4 a
sovrinakuéra	s o v_% 4_% i_% n a~ k_" w_" e_" 4 a
sovrinokuéra	s o B_% 4_% i_% n o~ k_" w_" e_" 4 a
sovrinokuéra	s o v_% 4_% i_% n o~ k_" w_" e_" 4 a
sovrinokuérape	s o B_% 4_% i_% n o~ k_" w_" e_" 4 a p e
sovrinokuérape	s o v_% 4_% i_% n o~ k_" w_" e_" 4 a p e
sovriníto	s o B 4 i~ n_" i~_" t o
sovriníto	s o v 4 i~ n_" i~_" t o
sovrína	s o B_" 4_" i~_" n a~
sovrína	s o v_" 4_" i~_" n a~
sovrínare	s o B_" 4_" i_" n a~ 4 e
sovrínare	s o v_" 4_" i_" n a~ 4 e
sovríno	s o B_" 4_" i~_" n o~
